,2022-11-28
0,"@ChrisMartzWX For well over 40 years, I have pointed out the pure insanity of choosing NOT to drill for oil and gas here where environmental regulations are followed - choosing ONLY countries that NEVER protect the environment such as the Soviet union or Saudi Arabia to provide oil… is NUTS."
1,"@WhiteHouse His executive orders on the energy sector, punishing the gas an oil companies, have caused this inflation, that he says he probably can't do anything about."
2,@manuel_rdgn @SEGOB_mx @adan_augusto @calderonalipi82 @OCV_Tabasco Saludos amigo @enmerka que lleva sin duda una gran labor y una excelente Expo Oil&amp;Gas
3,rtr: U.S. seeks to limit flaring and methane leaks from public lands drilling - President Joe Biden's administration on Monday proposed rules aimed at limiting methane leaks from oil and gas drilling on public lands. By @ValerieVolco @nicholagroom https://t.co/Pi6vCf6RyC
4,¡Oil &amp; Gas Reporter está disponible! https://t.co/4sElaai2ZY Gracias a @WorldOil #oilandgas #upstream
5,"""We should have learned by now that through exports to China, India, and other Asian countries, Russia continues to set trade surplus records.
A European cap on Russian gas and oil would be a subsidy to China at the expense of European taxpayers."""
6,"@HouseGOP Oh, honey, bless your heart. President Biden isn't in charge of 'choosing' to drill here. That's your #BigOil donors &amp; they are sitting on millions of acres of undeveloped oil and gas leases. They could drill any time they want, but they like their #RecordProfits and so do you."
7,"@RepBoebert US is at 90 to 98 % refinery capacity so more oil means nothing if you can't refine it. Of course closing refineries for ""maintenance"" supposedly doesnt help. So busy making gas that they can't switch to refining diesel. All about massive profits by creating artificial shortages."
8,"@mhdksafa Maybe the reason people working full time need food stamps is the price of food and gas.  Who declared war on fossil fuels, Biden.  The price of oil increases the price of transporting goods.  The war on fossil fuels hurt the poor most and Biden is to blame."
9,@DrKidNurse @SuzAtTheLibrary @UnfilteredSteve @blondie0204 @JDCocchiarella I'm sorry but the money that's going to Ukraine is getting money laundered and sent back to the Biden crime family. Infrastructure where? Tax reforms for who? Lauren gas prices by depleting or oil reserves? It is at an all-time low. We go to war we're done because we have no oil
10,@BetteMidler And He killed off the Dinosaurs to make oil and gas for when the sun doesn’t shine and the wind doesn’t blow
11,"@Ilikedogs29 @RoKhanna If rent is $1,872 a month. That means there is a supply of renters willing to pay that amount. 

If the demand for housing was less the landlord may have to drop the price. If demand is more, he maybe able to raise the rent. 

In the oil &amp; gas business this happens all the time."
12,"@jimmkirkk @drjdmartin China builds most of the wind turbines and solar panels. But China uses coal, oil, gas &amp; hydro. China builds 90 per cent of Australia's solar panels. The blades can't be recycled. So they have to be buried. Great for the environment."
13,@afneil So you finally realise that Thatcher took us down the gas power station route and the tories wasted all the NS oil &amp; gas revenue on tax cuts instead of investing in an renewable future &amp; the latest bunch of Tory idiots got rid of our gas storage leaving us high &amp; dry?
14,ADX Energy has signed a Joint Development Agreement with Kepis &amp; Pobe Financial Group Inc. to fund the drilling of the #Welchau gas prospect in ADX-AT-II exploration license in Upper Austria. Read more: https://t.co/9V9c3i9KF1 $ADX $ADX.ax #oil #gas #energy #ASX https://t.co/8MqpaYiBVc
15,@johnredwood @Louise_katz Coal oil and gas in abundance reliable for centuries what on earth are these idiots doing or thinking?  The technology does not exist to match these we have time let’s get back to basics and live
16,"Among big emitters, just Australia, Indonesia &amp; the US have signed the #GlobalMethanePledge.

China's climate envoy did talk about combatting methane emissions at #COP27, but he only mentioned oil and gas - not coal. https://t.co/G7QjhyA3aH"
17,"@MaryAli63137326 @Midwood49 @SenWarren Trump allowed fracking and drilling for oil and gas on federal lands. Biden campaigned on killing fossil fuels.  ""There is no more drilling"". https://t.co/1ulYCesLrB"
18,@BidensWins 🚨Breaking news:  Oil prices are STILL up over Jan 2021 when Biden took office - because HE started a war on US oil and gas.  What a clownish Tweet to celebrate the failure of Biden's oil and gas war.
19,"@SenatorRisch Oil/gas companies still have 9,000 unused drilling permits. 

A Barrel of oil is currently $74

Oil and gas companies are price gouging.

This ends my Ted Talk."
20,"(3 of 3)
Materials: -2.93%; 1 of 40 Up
Fuel/Elec/Util: -3.09%; 1 of 19 Up
Oil&amp;Gas: -3.22%; 2 of 80 Up
Green Enrgy: -3.57%; 1 of 18 Up"
21,"@donbrascothe3rd @CashmereTerry @Thegreatmike691 is a silly boy. AB have more reserve funds than most of Canada put together; grow their food/meat, pretty much everything else. They also, um, own the products that heat homes, the oil and natural gas.  You'll starve/freeze before they do 🤣"
22,"We don't need opec, we don't need anybody we have natural gas, nuclear energy and beautiful pure oil. We don't even need the pipeline to Canada. Why are we purchasing oil from other countries and sending our reserves to China? THINK PEOPLE, THINK!! 

https://t.co/qAi3v7Giup"
23,@Econimica @MacroAlf As always an original and intriguing chart. The West's embrace ESG may compound demand reduction demographic change ponts to. Someone will find a way to use oil and gas is it just too powerful.I wonder how much additional energy use the global south will use if given the chance.
24,@ThesvanJosh @JoshOSU84 @Josh_Pate82 @hbomax Oil and Gas people are the worst!
25,"@red_hankelrod @JoeNBC Pres Biden was criticized every hour, every day for months by the news media and Repugnuts, even though the president has zero control over oil or gas prices.

Since he was blamed when pricing went up, I thought it was only fair he should get credit when pricing goes back down."
26,"@rocha_earl @nakitko @RonFilipkowski The economy, foreign affairs, gas &amp; oil independence, jobs were all good under President Trump. Name the things Biden has accomplished? I'm waiting....."
27,@tonero_me @scotlandbosen @chris18guinness @IanMulcahy3 @JustStop_Oil So often these things are presented as a binary. We need to do both. But this is a specific campaign group with very narrow aims trying to achieve something that would have marginal impact on future price of oil and gas as UK contribution to global market is so small.
28,"@Concern70732755 Which banks are those? I was looking for which bank invested the MOST in oil and gas.... as well as mining to open a new account in. If you or anyone has numbers on this I can look at, I'd appreciate any help at all.

Thanks freedom lovers!"
29,"@ACTforAmerica Uh...try to keep up. Oil is about half of what it was last summer, gas  prices are again dropping.

I know that won't keep you from lying; your sheep prefer the lies."
30,"https://t.co/JquRrCatpD The Govt has held a consultation on banning the replacement of oil and LPG boilers from 2026, a full 9 years before gas boilers. It has yet to give a response. Here’s mine : 🖕🏻"
31,"@cristalholidayx @Bakruu US is the pathetic country for killing children in Suria, Iran, Iraq, Yemen, Palestine, Afghanistan, Vietnam. And then you suck on their balls for cheap gas and oil. This is your reality. The whole nation is full of suck ups and hate mongers"
32,@POTUS @SharylAttkisson What do you suppose led to the increasing need? LIHEP funding will be increased to support those in need face the higher costs of energy this winter? Do you you think it odd to point to increased taxpayer spending to cover your policy mistakes: From Vax mandate to oil/gas policy?
33,"@RoKhanna ✅ Blind eye to blatant crypto scams preying on main street despite ample evidence of federal regulatory jurisdiction 
✅ Discourage domestic oil and gas production leading to rampant inflation 
✅ Zero fiscal discipline and racking up $31 trillion federal debt"
34,"@CieGrant Congratulations My Man.. I'm trying to finish my last 3 in The Oil and Gas Industry as Well...

Follow Your 🙏🏿.. allow it Lead You..
Whatever Path..
You'll Be Great 💪🏿‼✌🏿"
35,"@GavinNewsom Congratulations, CA, $5.04/gallon, is second highest in the USA behind only Hawaii.  Why?  Texas is cheapest, $2.89.  Oil company greed only in California, not Texas?  https://t.co/hLmBAe2f51"
36,"@nickhedley No. It's new oil &amp; gas. In 2022.
https://t.co/OPW5ZtK2bZ"
37,"JPMorgan Still Sees #Oil Above $100 in Next Few Years

https://t.co/1Iz89TpISW

#Bloomberg #Gas #Mining #OilPrices https://t.co/qNZj3Ny7o5"
38,"@RNCResearch Oil And Gas Executives Say It's Not Joe Biden Holding Back Domestic Production

""Biden’s critics have ignored the fact that Wall Street investors are pressuring U.S. drillers to limit production amid record prices.""https://t.co/yX3kNmWQUx"
39,"A plan by Interior’s Bureau of Land Mgt would tighten limits on gas flaring on federal land &amp; require energy companies to cut down on methane leaks that add to climate change. Biden proposed a wide-ranging plan for methane at a climate conference in Egypt.
https://t.co/8MXK9iLtCG"
40,"We want president Trump made in usa: fossil fuel ,gas, oil, !the people president. https://t.co/R9huV4VxY3"
41,"@GovNedLamont “Helping lower energy prices”, what planet are you from? Heating oil prices have tripled, gas is $2 higher and electricity will be up 50% Jan 1. What in Gods name are you talking about?"
42,"@JoshOSU84 @Josh_Pate82 @Mojo306 @hbomax Bro, that’s a nice setup you have there. That’s what you get with that EVIL oil and gas money 😉. https://t.co/ED2HvsBQM4"
43,"Alaska oil and gas lease sale is on because corrupt Minion of the fossil fuel industry Joe Manchin insisted on it

https://t.co/R1C5PSya4f"
44,"@EvolvingNerd @DonaldJTrumpJr Afghanistan, oil bans -📈gas prices, inflation, international policy, low IQ and incomprehensible speech is much worse than we have ever had."
45,Major oil companies won't participate in California gas price spike hearing  https://t.co/nzNbU0WuAn
46,@johnredwood It has to be combinations of energy production away from gas and oil. You are being disengenuous by just singling out wind power as the only means of generation.
47,"Invite RUSSIA President @KremlinRussia_E and UKRAINE President @ZelenskyyUa to @UN NY &amp; SOLVE UKRAINE Fiasco 

 @OPECSecretariat &amp; @G7 to Create PERFECT Finance &amp; FOREX &amp; GOLD &amp; GAS &amp; OIL MARKETS 

Enter No WAR PACTS Among ALL @UN 194 Members and CLOSE @NATO https://t.co/x22mjRwQWW"
48,"@mr_seans oil, gas , electric?

i forgot solar. forgive me, i have sinned"
49,"Usa Oil / Gas /service / Midstream budgets
#oott https://t.co/VCjQP2BnLG https://t.co/9BRAt58O7x"
50,"Sen. Bill Cassidy: US can create oil and gas jobs here, but Biden chooses not to https://t.co/ZvqInAdNSg #breakingnews"
51,"~7,000 jobs list at Twitter = global meltdown &amp; @elonmusk is the devil 

~150,000 jobs lost in the oil &amp; gas industry in the USA = 🦗🦗🦗

FYI I am pro climate &amp; renewables but the above just stinks of Twitter righteousness"
52,@travisakers Remember when self service gas stations came to be. At one time you pulled up and had your windshield cleaned and your oil checked while the attendant filled your tank.
53,@JoeNBC Democrats said when gas prices were high that the president didn’t control gas prices… now  Biden is oil from Venezuela in stead of using our oil…now tell me how that helps Americans
54,"@WinterIsOnTwt @MarkThorndyke @MatthewNewbery1 @Ghiaguy66 @JustStop_Oil @RishiSunak Limited supplies?
""estimated that the northern Bowland Shale gas formation in England alone holds as much as 37.6 Tcm of shale gas. Just 10% of that volume could meet UK gas needs for 50 years""
https://t.co/Ux5icmFMPO"
55,@TypeACommentary @CarignanAbreu @JLeon223 @MasterStare @FoxNews Biden literally campaigned on destroying the oil and gas industry and replacing it with green energy.  No company in their right mind is going to invest hundreds of millions of dollars under a president who is actively working to shutter the industry.
56,"@LadyJustice4512 @scrowder 3. Do you know what oil companies are saying is the biggest cost for them right now?

Answer: gas prices.

Hmmmmm, if only they could do something about that."
57,"“Again, there are 9,000 unused permits here in the United States on federal land that oil and gas companies can and should take advantage of. 9,000! And we're talking about one there in Venezuela."" Doocy doesn’t report the news. He reports what he wants to be the news. https://t.co/hApNRNg1vV"
58,@edufeiok Que los echen. No tienen nada que hacer allí. Si no tienen otra cosa que hacer con su tiempo les puedo recomendar que agarren una azada y vayan a cuidar los cultivos que ellos se encargaron de destruir con el precio inaudito del Gas Oil
59,I just added my comment in support of the @Interior's administrative withdrawal of oil &amp; gas drilling on federal lands surrounding Chaco. You have until Dec. 10 to add yours! https://t.co/oX3iqabdCt #ProtectChaco
60,"Plibersek and Labour approving new oil, gas, coal mines, giving them public money subsidies . . . now says Australia will lobby against ‘in danger’ listing for Barrier Reef as ‘we’ve dealt with’ major concerns 
https://t.co/3R8DXRIt2h"
61,"INDIA is Having 17% of World Population and INDIA Should Create 17% of World GDP Whereas INDIA is Creating 4% of World GDP 

Build DAMS,BARAGES,RESERVOIRS Bullet Train Tracks

Produce GAS OIL GOLD DIAMONDS PLATINUM SILVER COPPER NICKEL to REDUCE TRADE DEFICIT"
62,@BBCScotlandNews Scotland seeks clarity on where the £billions of its oil and gas money went.
63,"@PSOE @nasholop @malagahoy_es Pues yo vivo en España peor que, antes de la llegada de Pedro Sánchez. No me llega el sueldo. No puedo pagar el gas oil a 1.90€. No puedo pagar la luz y el gas. La comida por la nubes. Tengo miedo a que apuñalen a mis hijos. Bandas por las calles.Los violadores salen a la calle."
64,California Energy Commission will hold a hearing on Tuesday on gas price spikes. Documents provided by the CEC show major oil companies operating in California have rejected invitations to participate.
65,#USA plans to offer hundreds of acre miles off the #Alaskan coast for new #oil and #gas drilling next month. 🤦🏻‍♀️ https://t.co/zjawZ4SEKu
66,"@GavinNewsom You have clearly stated you're at war with oil, why would they participate in your shenanigans? Also, who cares (according to you) since you are banning gas power? Isn't this a 'good thing' for your agenda?

Can't have it both ways, slick. Gas is about 2.60 in Texas. Weird."
67,"@Shadesofgray33 @elonmusk @TheRabbitHole84 I feel sorry for you 😂 no I was busy. And I have Multiple sorted if income and multiple sources of cash flow investments and property, I do software development as a hobby and am involved in oil and gas. Your just a fat sad reject with nothing going on in your life 🥲😄 https://t.co/NSPQshDQav"
68,"@TedNugent Now do OPEC and all the big oil companies artificially inflating oil and gas prices. 

#tednugentsucks"
69,"@LetsGreenCA If Big Oil includes natural gas, then we should *definitely* continue running Diablo Canyon. Indefinitely! (5yr extension won’t put a dent in our 50% natural gas-fired electricity, esp if we hope to electrify transportation &amp; homes, not to mention industry, desalination &amp; H2) ⚛️"
70,"@garethlkr @TonyClimate Oil and gas powers the world's production and living.

so, what exactly is bougt and sold in the 'carbon trading market' ? 

btw, still unsure what exactly you are trying to say here"
71,"@TonyaS2005 @Brandyk73 @prpcountry @POTUS There’s no doubt that gas prices have spiked internationally, nationally and in California in 2021. The increases have been driven by a complex array of global economic factors, notably including increases in the price of crude oil."
72,"@nytimes Saying again.  Congress needs to act this week.  Rail moves fuel oil, nat. gas, ind. volatile chems and food.   None of these producers will ship after Friday unless assured arrive at dest. before 12/9."
73,@glasshalffulls @PoliticsPollss @PaoliMichele By which time we will have developed other technologies too. We can't continue with ditty finite oil and gas!
74,@samajp32 @CrimsonCreamNIL @OU_Football @Jeremiah_hall27 @RyanBroyles How about I keep paying money for gasoline that lines the pockets of rich OU donors in the oil and gas industry. Then the rich donors can give that money to NIL.
75,@CarignanAbreu @JLeon223 @TypeACommentary @MasterStare @FoxNews Energy Independence does not mean we don't import oil and gas. It means we are net exporters (we export more than we import). The US consumes about 19 million barrels per day. So we have always imported some. But we became net exporters for the first time in 75 years under Trump.
76,"@POTUS Gas prices ⬆️
Food prices ⬆️
Heating oil ⬆️
Inflation ⬆️
Electricity ⬆️
Manufacturing cost ⬆️
Where is the progress moron ??????"
77,"Oil And Gas Exploration: How Long Does It Take To Drill An Oil Well LSNAYNB

https://t.co/Agcs6jgg4q https://t.co/aKaodYLQYU"
78,"@townhallcom Yeah... Let's buy and drill dirty oil from around the World 🌎 instead of getting clean oil from right here at home 😂 80%of electricity is made from oil,coal and natural gas... you Woke fools need to go back to bed."
79,"destructive, and ineffective for anything considered to be constructive.
2️⃣ We should return to energy independence with the resources right under our feet. We have enough oil, natural gas, LNG, and coal to be the top 5 exporter in all of these areas.
⤵️"
