,Date,Regular,Diesel
0,2022-02-23,3.54,3.96
1,2022-02-24,3.54,3.96
2,2022-02-25,3.57,3.98
3,2022-02-26,3.6,4.0
4,2022-02-27,3.6,4.0
5,2022-02-28,3.61,4.01
6,2022-03-01,3.62,4.02
7,2022-03-02,3.66,4.04
8,2022-03-03,3.73,4.12
9,2022-03-04,3.84,4.26
10,2022-03-05,3.92,4.41
11,2022-03-06,4.01,4.53
12,2022-03-07,4.07,4.61
13,2022-03-08,4.17,4.76
14,2022-03-09,4.25,4.88
15,2022-03-10,4.32,5.06
16,2022-03-11,4.33,5.13
17,2022-03-12,4.33,5.14
18,2022-03-13,4.33,5.13
19,2022-03-14,4.33,5.13
20,2022-03-15,4.32,5.12
21,2022-03-16,4.31,5.1
22,2022-03-17,4.29,5.08
23,2022-03-18,4.27,5.07
24,2022-03-19,4.26,5.06
25,2022-03-20,4.26,5.05
26,2022-03-21,4.25,5.05
27,2022-03-22,4.24,5.04
28,2022-03-23,4.24,5.04
29,2022-03-24,4.24,5.05
30,2022-03-25,4.24,5.08
31,2022-03-26,4.24,5.1
32,2022-03-27,4.24,5.12
33,2022-03-28,4.25,5.12
34,2022-03-29,4.24,5.13
35,2022-03-30,4.24,5.12
36,2022-03-31,4.22,5.12
37,2022-04-01,4.22,5.11
38,2022-04-02,4.2,5.1
39,2022-04-03,4.19,5.1
40,2022-04-04,4.19,5.09
41,2022-04-05,4.18,5.08
42,2022-04-06,4.16,5.08
43,2022-04-07,4.15,5.07
44,2022-04-08,4.14,5.06
45,2022-04-09,4.12,5.05
46,2022-04-10,4.12,5.05
47,2022-04-11,4.11,5.04
48,2022-04-12,4.1,5.03
49,2022-04-13,4.08,5.02
50,2022-04-14,4.07,5.01
51,2022-04-15,4.07,5.01
52,2022-04-16,4.08,5.02
53,2022-04-17,4.08,5.03
54,2022-04-18,4.09,5.03
55,2022-04-19,4.1,5.04
56,2022-04-20,4.11,5.06
57,2022-04-21,4.12,5.07
58,2022-04-22,4.12,5.07
59,2022-04-23,4.12,5.07
60,2022-04-24,4.12,5.08
61,2022-04-25,4.12,5.08
62,2022-04-26,4.13,5.08
63,2022-04-27,4.13,5.09
64,2022-04-28,4.14,5.12
65,2022-04-29,4.16,5.18
66,2022-04-30,4.18,5.26
67,2022-05-01,4.19,5.3
68,2022-05-02,4.19,5.32
69,2022-05-03,4.2,5.37
70,2022-05-04,4.23,5.43
71,2022-05-05,4.25,5.47
72,2022-05-06,4.28,5.51
73,2022-05-07,4.3,5.53
74,2022-05-08,4.32,5.54
75,2022-05-09,4.33,5.54
76,2022-05-10,4.37,5.55
77,2022-05-11,4.4,5.55
