,Date,Regular,Diesel,Crude Closing
0,2022-02-23,3.54,3.96,92.1
1,2022-02-24,3.54,3.96,92.81
2,2022-02-25,3.57,3.98,91.59
3,2022-02-28,3.61,4.01,95.72
4,2022-03-01,3.62,4.02,103.41
5,2022-03-02,3.66,4.04,110.6
6,2022-03-03,3.73,4.12,107.67
7,2022-03-04,3.84,4.26,115.68
8,2022-03-07,4.07,4.61,119.4
9,2022-03-08,4.17,4.76,123.7
10,2022-03-09,4.25,4.88,108.7
11,2022-03-10,4.32,5.06,106.02
12,2022-03-11,4.33,5.13,109.33
13,2022-03-14,4.33,5.13,103.01
14,2022-03-15,4.32,5.12,96.44
15,2022-03-16,4.31,5.1,95.04
16,2022-03-17,4.29,5.08,102.98
17,2022-03-18,4.27,5.07,104.7
18,2022-03-21,4.25,5.05,112.12
19,2022-03-22,4.24,5.04,111.76
20,2022-03-23,4.24,5.04,114.93
21,2022-03-24,4.24,5.05,112.34
22,2022-03-25,4.24,5.08,113.9
23,2022-03-28,4.25,5.12,105.96
24,2022-03-29,4.24,5.13,104.24
25,2022-03-30,4.24,5.12,107.82
26,2022-03-31,4.22,5.12,100.28
27,2022-04-01,4.22,5.11,99.27
28,2022-04-04,4.19,5.09,103.28
29,2022-04-05,4.18,5.08,101.96
30,2022-04-06,4.16,5.08,96.23
31,2022-04-07,4.15,5.07,96.03
32,2022-04-08,4.14,5.06,98.26
33,2022-04-11,4.11,5.04,94.29
34,2022-04-12,4.1,5.03,100.6
35,2022-04-13,4.08,5.02,104.25
36,2022-04-14,4.07,5.01,106.95
37,2022-04-18,4.09,5.03,108.21
38,2022-04-19,4.1,5.04,102.56
39,2022-04-20,4.11,5.06,102.75
40,2022-04-21,4.12,5.07,103.79
41,2022-04-22,4.12,5.07,102.07
42,2022-04-25,4.12,5.08,98.54
43,2022-04-26,4.13,5.08,101.7
44,2022-04-27,4.13,5.09,102.02
45,2022-04-28,4.14,5.12,105.36
46,2022-04-29,4.16,5.18,104.69
47,2022-05-02,4.19,5.32,105.17
48,2022-05-03,4.2,5.37,102.41
49,2022-05-04,4.23,5.43,107.81
50,2022-05-05,4.25,5.47,108.26
51,2022-05-06,4.28,5.51,109.77
52,2022-05-09,4.33,5.54,103.09
53,2022-05-10,4.37,5.55,99.76
54,2022-05-11,4.4,5.55,105.71
55,2022-05-12,4.42,5.56,106.13
56,2022-05-13,4.43,5.56,110.49
57,2022-05-16,4.48,5.57,114.2
58,2022-05-17,4.52,5.57,112.4
59,2022-05-18,4.57,5.58,109.59
60,2022-05-19,4.59,5.58,112.21
61,2022-05-20,4.59,5.57,113.23
62,2022-05-23,4.6,5.55,110.29
63,2022-05-24,4.6,5.55,109.77
64,2022-05-25,4.6,5.54,110.33
65,2022-05-26,4.6,5.54,114.09
66,2022-05-27,4.6,5.53,115.07
67,2022-05-31,4.62,5.52,114.67
68,2022-06-01,4.67,5.54,115.26
69,2022-06-02,4.72,5.56,116.87
70,2022-06-03,4.76,5.58,118.87
71,2022-06-06,4.87,5.65,118.5
72,2022-06-07,4.92,5.68,119.41
73,2022-06-08,4.96,5.72,122.11
74,2022-06-09,4.97,5.74,121.51
75,2022-06-10,4.99,5.75,120.67
76,2022-06-13,5.01,5.77,120.93
77,2022-06-14,5.02,5.78,118.93
78,2022-06-15,5.01,5.78,115.31
79,2022-06-16,5.01,5.79,117.59
80,2022-06-17,5.0,5.8,109.56
81,2022-06-21,4.97,5.81,110.65
82,2022-06-22,4.96,5.81,106.19
83,2022-06-23,4.94,5.81,104.27
84,2022-06-24,4.93,5.81,107.62
85,2022-06-27,4.9,5.79,109.57
86,2022-06-28,4.88,5.79,111.76
87,2022-06-29,4.87,5.78,109.78
88,2022-06-30,4.86,5.77,105.76
89,2022-07-01,4.84,5.76,108.43
90,2022-07-05,4.8,5.73,99.5
91,2022-07-06,4.78,5.72,98.53
92,2022-07-07,4.75,5.7,102.73
93,2022-07-08,4.72,5.68,104.79
94,2022-07-11,4.68,5.64,104.09
95,2022-07-12,4.66,5.63,95.84
96,2022-07-13,4.63,5.61,96.3
97,2022-07-14,4.61,5.59,95.78
98,2022-07-15,4.58,5.57,97.59
99,2022-07-18,4.52,5.54,102.6
100,2022-07-19,4.5,5.52,104.22
101,2022-07-20,4.47,5.5,102.26
102,2022-07-21,4.44,5.48,96.35
103,2022-07-22,4.41,5.46,94.7
104,2022-07-25,4.36,5.41,96.7
105,2022-07-26,4.33,5.39,94.98
106,2022-07-27,4.3,5.37,97.26
