Date,Regular,Diesel,,
2/23/2022,3.54,3.96,,
2/24/2022,3.54,3.96,,
2/25/2022,3.57,3.98,,
2/26/2022,3.60,4.00,,
2/27/2022,3.60,4.00,,
2/28/2022,3.61,4.01,,
3/1/2022,3.62,4.02,,
3/2/2022,3.66,4.04,,
3/3/2022,3.73,4.12,,
3/4/2022,3.84,4.26,,
3/5/2022,3.92,4.41,,
3/6/2022,4.01,4.53,,
3/7/2022,4.07,4.61,,
3/8/2022,4.17,4.76,,
3/9/2022,4.25,4.88,,
3/10/2022,4.32,5.06,,
3/11/2022,4.33,5.13,,
3/12/2022,4.33,5.14,,
3/13/2022,4.33,5.13,,
3/14/2022,4.33,5.13,,
3/15/2022,4.32,5.12,,
3/16/2022,4.31,5.10,,
3/17/2022,4.29,5.08,,
3/18/2022,4.27,5.07,,
3/19/2022,4.26,5.06,,
3/20/2022,4.26,5.05,,
3/21/2022,4.25,5.05,,
3/22/2022,4.24,5.04,,
3/23/2022,4.24,5.04,,
3/24/2022,4.24,5.05,,
3/25/2022,4.24,5.08,,
3/26/2022,4.24,5.10,,
3/27/2022,4.24,5.12,,
3/28/2022,4.25,5.12,,
3/29/2022,4.24,5.13,,
3/30/2022,4.24,5.12,,
3/31/2022,4.22,5.12,,
4/1/2022,4.22,5.11,,
4/2/2022,4.20,5.10,,
4/3/2022,4.19,5.10,,
4/4/2022,4.19,5.09,,
4/5/2022,4.18,5.08,,
4/6/2022,4.16,5.08,,
4/7/2022,4.15,5.07,,
4/8/2022,4.14,5.06,,
4/9/2022,4.12,5.05,,
4/10/2022,4.12,5.05,,
4/11/2022,4.11,5.04,,
4/12/2022,4.10,5.03,,
4/13/2022,4.08,5.02,,
4/14/2022,4.07,5.01,,
4/15/2022,4.07,5.01,,
4/16/2022,4.08,5.02,,
4/17/2022,4.08,5.03,,
4/18/2022,4.09,5.03,,
4/19/2022,4.10,5.04,,
4/20/2022,4.11,5.06,,
4/21/2022,4.12,5.07,,
4/22/2022,4.12,5.07,,
4/23/2022,4.12,5.07,,
4/24/2022,4.12,5.08,,
4/25/2022,4.12,5.08,,
4/26/2022,4.13,5.08,,
4/27/2022,4.13,5.09,,
4/28/2022,4.14,5.12,,
4/29/2022,4.16,5.18,,
4/30/2022,4.18,5.26,,
5/1/2022,4.19,5.30,,
5/2/2022,4.19,5.32,,
5/3/2022,4.20,5.37,,
5/4/2022,4.23,5.43,,
5/5/2022,4.25,5.47,,
5/6/2022,4.28,5.51,,
5/7/2022,4.30,5.53,,
5/8/2022,4.32,5.54,,
5/9/2022,4.33,5.54,,
5/10/2022,4.37,5.55,,
5/11/2022,4.40,5.55,,
5/12/2022,4.42,5.56,,
5/13/2022,4.43,5.56,,
5/14/2022,4.45,5.57,,
5/15/2022,4.47,5.57,,
5/16/2022,4.48,5.57,,
5/17/2022,4.52,5.57,,
5/18/2022,4.57,5.58,,
5/19/2022,4.59,5.58,,
5/20/2022,4.59,5.57,,
5/21/2022,4.59,5.56,,
5/22/2022,4.59,5.56,,
5/23/2022,4.60,5.55,,
5/24/2022,4.60,5.55,,
5/25/2022,4.60,5.54,,
5/26/2022,4.60,5.54,,
5/27/2022,4.60,5.53,,
5/28/2022,4.60,5.53,,
5/29/2022,4.61,5.53,,
5/30/2022,4.62,5.52,,
5/31/2022,4.62,5.52,,
6/1/2022,4.67,5.54,,
6/2/2022,4.72,5.56,,
6/3/2022,4.76,5.58,,
6/4/2022,4.82,5.62,,
6/5/2022,4.85,5.64,,
6/6/2022,4.87,5.65,,
6/7/2022,4.92,5.68,,
6/8/2022,4.96,5.72,,
6/9/2022,4.97,5.74,,
6/10/2022,4.99,5.75,,
6/11/2022,5.00,5.77,,
6/12/2022,5.01,5.77,,
6/13/2022,5.01,5.77,,
6/14/2022,5.02,5.78,,
6/15/2022,5.01,5.78,,
6/16/2022,5.01,5.79,,
6/17/2022,5.00,5.80,,
6/18/2022,4.99,5.81,,
6/19/2022,4.98,5.82,,
6/20/2022,4.98,5.82,,
6/21/2022,4.97,5.81,,
6/22/2022,4.96,5.81,,
6/23/2022,4.94,5.81,,
6/24/2022,4.93,5.81,,
6/25/2022,4.91,5.80,,
6/26/2022,4.90,5.80,,
6/27/2022,4.90,5.79,,
6/28/2022,4.88,5.79,,
6/29/2022,4.87,5.78,,
6/30/2022,4.86,5.77,,
7/1/2022,4.84,5.76,,
7/2/2022,4.82,5.75,,
7/3/2022,4.81,5.74,,
7/4/2022,4.81,5.74,,
7/5/2022,4.80,5.73,,
7/6/2022,4.78,5.72,,
7/7/2022,4.75,5.70,,
7/8/2022,4.72,5.68,,
7/9/2022,4.70,5.66,,
7/10/2022,4.68,5.65,,
7/11/2022,4.68,5.64,,
7/12/2022,4.66,5.63,,
7/13/2022,4.63,5.61,,
7/14/2022,4.61,5.59,,
7/15/2022,4.58,5.57,,
7/16/2022,4.55,5.55,,
7/17/2022,4.53,5.54,,
7/18/2022,4.52,5.54,,
7/19/2022,4.50,5.52,,
7/20/2022,4.47,5.50,,
7/21/2022,4.44,5.48,,
7/22/2022,4.41,5.46,,
7/23/2022,4.38,5.43,,
7/24/2022,4.37,5.42,,
7/25/2022,4.36,5.41,,
7/26/2022,4.33,5.39,,
7/27/2022,4.30,5.37,,
7/28/2022,4.28,5.34,,
7/29/2022,4.26,5.32,,
7/30/2022,4.23,5.30,,
7/31/2022,4.22,5.29,,
8/1/2022,4.21,5.28,,
8/2/2022,4.19,5.26,,
8/3/2022,4.16,5.24,,
8/4/2022,4.14,5.22,,
8/5/2022,4.11,5.19,,
8/6/2022,4.08,5.17,,
8/7/2022,4.07,5.16,,
8/8/2022,4.06,5.14,,
8/9/2022,4.03,5.12,,
8/10/2022,4.01,5.10,,
8/11/2022,3.99,5.08,,
8/12/2022,3.98,5.06,,
8/13/2022,3.97,5.05,,
8/14/2022,3.96,5.04,,
8/15/2022,3.96,5.03,,
8/16/2022,3.95,5.02,,
8/17/2022,3.94,5.01,,
8/18/2022,3.93,5.00,,
8/22/2022,3.90,4.98,,
8/23/2022,3.89,4.97,,
8/24/2022,3.88,4.98,,
8/25/2022,3.88,4.99,,
8/26/2022,3.87,5.01,,
8/27/2022,3.86,5.04,,
8/28/2022,3.85,5.05,,
8/29/2022,3.85,5.06,,
8/30/2022,3.84,5.07,,
8/31/2022,3.84,5.09,,
9/1/2022,3.83,5.08,,
9/2/2022,3.81,5.08,,
9/3/2022,3.80,5.07,,
9/4/2022,3.79,5.07,,
9/5/2022,3.79,5.07,,
9/6/2022,3.78,5.06,,
9/7/2022,3.76,5.05,,
9/8/2022,3.75,5.04,,
9/9/2022,3.74,5.03,,
9/10/2022,3.72,5.02,,
9/11/2022,3.72,5.01,,
9/12/2022,3.72,5.01,,
9/13/2022,3.71,5.00,,
9/14/2022,3.70,5.00,,
9/15/2022,3.70,4.99,,
9/16/2022,3.69,4.98,,
9/17/2022,3.68,4.97,,
9/18/2022,3.68,4.96,,
9/19/2022,3.68,4.95,,
9/20/2022,3.67,4.94,,
9/21/2022,3.68,4.93,,
9/22/2022,3.68,4.92,,
9/23/2022,3.69,4.91,,
9/24/2022,3.70,4.91,,
9/25/2022,3.71,4.91,,
9/26/2022,3.73,4.90,,
9/27/2022,3.75,4.89,,
9/28/2022,3.77,4.88,,
9/29/2022,3.78,4.88,,
9/30/2022,3.80,4.88,,
10/1/2022,3.80,4.87,,
10/2/2022,3.80,4.87,,
10/3/2022,3.80,4.87,,
10/4/2022,3.81,4.86,,
10/5/2022,3.83,4.87,,
10/6/2022,3.87,4.88,,
10/7/2022,3.89,4.92,,
10/8/2022,3.90,4.99,,
10/9/2022,3.91,5.03,,
10/10/2022,3.92,5.06,,
10/11/2022,3.92,5.12,,
10/12/2022,3.92,5.16,,
10/13/2022,3.91,5.19,,
10/14/2022,3.90,5.19,,
10/15/2022,3.89,5.25,,
10/16/2022,3.89,5.27,,
10/17/2022,3.89,5.28,,
10/18/2022,3.87,5.30,,
